word,2of12inf,NWL2023,google20k,ALL_THREE
a,0,0,1,0
aa,0,1,1,0
aaa,0,0,1,0
aac,0,0,1,0
aah,0,1,0,0
aahed,0,1,0,0
aahing,0,1,0,0
aahs,0,1,0,0
aal,0,1,0,0
aalii,0,1,0,0
aaliis,0,1,0,0
aaliyah,0,0,1,0
aals,0,1,0,0
aardvark,1,1,0,0
aardvarks,1,1,0,0
aardwolf,0,1,0,0
aardwolves,0,1,0,0
aargh,0,1,0,0
aaron,0,0,1,0
aarrgh,0,1,0,0
aarrghh,0,1,0,0
aas,0,1,0,0
aasvogel,0,1,0,0
aasvogels,0,1,0,0
ab,0,1,1,0
aba,0,1,1,0
abaca,0,1,0,0
abacas,0,1,0,0
abaci,1,1,0,0
aback,1,1,0,0
abacterial,0,1,0,0
abacus,1,1,0,0
abacuses,1,1,0,0
abaft,1,1,0,0
abaka,0,1,0,0
abakas,0,1,0,0
abalone,1,1,0,0
abalones,1,1,0,0
abamp,0,1,0,0
abampere,0,1,0,0
abamperes,0,1,0,0
abamps,0,1,0,0
abandon,1,1,1,1
abandoned,1,1,1,1
abandoner,0,1,0,0
abandoners,0,1,0,0
abandoning,1,1,0,0
abandonment,1,1,0,0
abandonments,1,1,0,0
abandons,1,1,0,0
abandonware,0,1,0,0
abandonwares,0,1,0,0
abapical,0,1,0,0
abas,0,1,0,0
abase,1,1,0,0
abased,1,1,0,0
abasedly,0,1,0,0
abasement,1,1,0,0
abasements,1,1,0,0
abaser,0,1,0,0
abasers,0,1,0,0
abases,1,1,0,0
abash,1,1,0,0
abashed,1,1,0,0
abashedly,1,1,0,0
abashes,1,1,0,0
abashing,1,1,0,0
abashment,1,1,0,0
abashments,1,1,0,0
abasia,0,1,0,0
abasias,0,1,0,0
abasing,1,1,0,0
abatable,0,1,0,0
abate,1,1,0,0
abated,1,1,0,0
abatement,1,1,1,1
abatements,1,1,0,0
abater,0,1,0,0
abaters,0,1,0,0
abates,1,1,0,0
abating,1,1,0,0
abatis,0,1,0,0
abatises,0,1,0,0
abator,0,1,0,0
abators,0,1,0,0
abattis,0,1,0,0
abattises,0,1,0,0
abattoir,1,1,0,0
abattoirs,1,1,0,0
abaxial,0,1,0,0
abaxile,0,1,0,0
abaya,0,1,0,0
abayas,0,1,0,0
abba,0,1,1,0
abbacies,0,1,0,0
abbacy,0,1,0,0
abbas,0,1,0,0
abbatial,0,1,0,0
abbe,1,1,0,0
abbes,1,1,0,0
abbess,1,1,0,0
abbesses,1,1,0,0
abbey,1,1,1,1
abbeys,1,1,0,0
abbot,1,1,0,0
abbotcies,0,1,0,0
abbotcy,0,1,0,0
abbots,1,1,0,0
abbotship,0,1,0,0
abbotships,0,1,0,0
abbott,0,0,1,0
abbreviate,1,1,0,0
abbreviated,1,1,0,0
abbreviates,1,1,0,0
abbreviating,1,1,0,0
abbreviation,1,1,1,1
abbreviations,1,1,1,1
abbreviator,0,1,0,0
abbreviators,0,1,0,0
abby,0,0,1,0
abc,0,0,1,0
abcoulomb,0,1,0,0
abcoulombs,0,1,0,0
abdicable,0,1,0,0
abdicate,1,1,0,0
abdicated,1,1,0,0
abdicates,1,1,0,0
abdicating,1,1,0,0
abdication,1,1,0,0
abdications,1,1,0,0
abdicator,0,1,0,0
abdicators,0,1,0,0
abdomen,1,1,0,0
abdomens,1,1,0,0
abdomina,0,1,0,0
abdominal,1,1,1,1
abdominally,0,1,0,0
abdominals,0,1,0,0
abdominoplasty,0,1,0,0
abduce,0,1,0,0
abduced,0,1,0,0
abducens,0,1,0,0
abducent,0,1,0,0
abducentes,0,1,0,0
abduces,0,1,0,0
abducing,0,1,0,0
abduct,1,1,0,0
abducted,1,1,0,0
abductee,0,1,0,0
abductees,0,1,0,0
abducting,1,1,0,0
abduction,1,1,0,0
abductions,1,1,0,0
abductor,1,1,0,0
abductores,0,1,0,0
abductors,1,1,0,0
abducts,1,1,0,0
abdul,0,0,1,0
abe,0,0,1,0
abeam,1,1,0,0
abecedarian,0,1,0,0
abecedarians,0,1,0,0
abed,1,1,0,0
abegging,0,1,0,0
abele,0,1,0,0
abeles,0,1,0,0
abelia,0,1,0,0
abelian,0,1,0,0
abelias,0,1,0,0
abelmosk,0,1,0,0
abelmosks,0,1,0,0
aberdeen,0,0,1,0
aberrance,0,1,0,0
aberrances,0,1,0,0
aberrancies,0,1,0,0
aberrancy,0,1,0,0
aberrant,1,1,0,0
aberrantly,0,1,0,0
aberrants,0,1,0,0
aberrated,0,1,0,0
aberration,1,1,0,0
aberrational,1,1,0,0
aberrations,1,1,0,0
abet,1,1,0,0
abetment,0,1,0,0
abetments,0,1,0,0
abets,1,1,0,0
abettal,0,1,0,0
abettals,0,1,0,0
abetted,1,1,0,0
abetter,1,1,0,0
abetters,1,1,0,0
abetting,1,1,0,0
abettor,1,1,0,0
abettors,1,1,0,0
abeyance,1,1,0,0
abeyances,1,1,0,0
abeyancies,0,1,0,0
abeyancy,0,1,0,0
abeyant,0,1,0,0
abfarad,0,1,0,0
abfarads,0,1,0,0
abhenries,0,1,0,0
abhenry,0,1,0,0
abhenrys,0,1,0,0
abhor,1,1,0,0
abhorred,1,1,0,0
abhorrence,1,1,0,0
abhorrences,1,1,0,0
abhorrent,1,1,0,0
abhorrently,1,1,0,0
abhorrer,0,1,0,0
abhorrers,0,1,0,0
abhorring,1,1,0,0
abhors,1,1,0,0
abi,0,0,1,0
abidance,1,1,0,0
abidances,1,1,0,0
abide,1,1,1,1
abided,1,1,0,0
abider,0,1,0,0
abiders,0,1,0,0
abides,1,1,0,0
abiding,1,1,0,0
abidingly,1,1,0,0
abigail,0,1,1,0
abigails,0,1,0,0
abilities,1,1,1,1
ability,1,1,1,1
abiogeneses,0,1,0,0
abiogenesis,0,1,0,0
abiogenic,0,1,0,0
abiogenically,0,1,0,0
abiogenist,0,1,0,0
abiogenists,0,1,0,0
abiological,0,1,0,0
abioses,0,1,0,0
abiosis,0,1,0,0
abiotic,0,1,0,0
abiotically,0,1,0,0
abit,0,0,1,0
abject,1,1,0,0
abjection,1,1,0,0
abjections,1,1,0,0
abjectly,1,1,0,0
abjectness,1,1,0,0
abjectnesses,1,1,0,0
abjuration,1,1,0,0
abjurations,1,1,0,0
abjuratory,1,0,0,0
abjure,1,1,0,0
abjured,1,1,0,0
abjurer,1,1,0,0
abjurers,1,1,0,0
abjures,1,1,0,0
abjuring,1,1,0,0
ablate,1,1,0,0
ablated,1,1,0,0
ablates,1,1,0,0
ablating,1,1,0,0
ablation,1,1,0,0
ablations,1,1,0,0
ablative,1,1,0,0
ablatively,0,1,0,0
ablatives,1,1,0,0
ablator,0,1,0,0
ablators,0,1,0,0
ablaut,0,1,0,0
ablauts,0,1,0,0
ablaze,1,1,0,0
able,1,1,1,1
abled,0,1,0,0
ablegate,0,1,0,0
ablegates,0,1,0,0
ableism,0,1,0,0
ableisms,0,1,0,0
ableist,0,1,0,0
ableists,0,1,0,0
abler,1,1,0,0
ables,0,1,0,0
ablest,1,1,0,0
ablings,0,1,0,0
ablins,0,1,0,0
abloom,1,1,0,0
abluent,0,1,0,0
abluents,0,1,0,0
ablush,0,1,0,0
abluted,0,1,0,0
ablution,1,1,0,0
ablutionary,0,1,0,0
ablutions,1,1,0,0
ably,1,1,0,0
abmho,0,1,0,0
abmhos,0,1,0,0
abn,0,0,1,0
abnegate,1,1,0,0
abnegated,1,1,0,0
abnegates,1,1,0,0
abnegating,1,1,0,0
abnegation,1,1,0,0
abnegations,1,1,0,0
abnegator,0,1,0,0
abnegators,0,1,0,0
abnormal,1,1,1,1
abnormalities,1,1,1,1
abnormality,1,1,0,0
